job_id,timestamp,machine,chip,target_model,draft_model,draft_len,n_prompt,n_predict,repeat,prompt_key,tokens_per_sec,prompt_eval_ms,eval_ms_per_token,draft_acceptance_rate,speedup_vs_baseline,raw_log,status
A_moe_q4_np64_r0,2026-03-14T22:14:16.688072,m2ultra,M2 Ultra,moe_q4,none,0,64,256,0,bench,55.297118,110.209208,18.084125,,1.0,raw/A_moe_q4_np64_r0.txt,ok
A_moe_q4_np64_r1,2026-03-14T22:14:26.872646,m2ultra,M2 Ultra,moe_q4,none,0,64,256,1,bench,55.283663,110.88375,18.08852652734375,,1.0,raw/A_moe_q4_np64_r1.txt,ok
A_moe_q4_np64_r2,2026-03-14T22:14:37.039888,m2ultra,M2 Ultra,moe_q4,none,0,64,256,2,bench,55.22004,110.523708,18.10936767578125,,1.0,raw/A_moe_q4_np64_r2.txt,ok
A_moe_q4_np256_r0,2026-03-14T22:14:47.183953,m2ultra,M2 Ultra,moe_q4,none,0,256,256,0,bench,55.244921,215.846625,18.10121142578125,,1.0,raw/A_moe_q4_np256_r0.txt,ok
A_moe_q4_np256_r1,2026-03-14T22:14:57.373569,m2ultra,M2 Ultra,moe_q4,none,0,256,256,1,bench,55.203122,214.99475,18.11491748046875,,1.0,raw/A_moe_q4_np256_r1.txt,ok
A_moe_q4_np256_r2,2026-03-14T22:15:07.523333,m2ultra,M2 Ultra,moe_q4,none,0,256,256,2,bench,55.245432,215.993583,18.10104410546875,,1.0,raw/A_moe_q4_np256_r2.txt,ok
A_moe_q4_np512_r0,2026-03-14T22:15:18.192887,m2ultra,M2 Ultra,moe_q4,none,0,512,256,0,bench,55.459896,340.401,18.0310470390625,,1.0,raw/A_moe_q4_np512_r0.txt,ok
A_moe_q4_np512_r1,2026-03-14T22:15:28.856849,m2ultra,M2 Ultra,moe_q4,none,0,512,256,1,bench,55.297276,340.46775,18.08407356640625,,1.0,raw/A_moe_q4_np512_r1.txt,ok
A_moe_q4_np512_r2,2026-03-14T22:15:39.127378,m2ultra,M2 Ultra,moe_q4,none,0,512,256,2,bench,55.247696,340.636417,18.10030224609375,,1.0,raw/A_moe_q4_np512_r2.txt,ok
A_moe_q8_np64_r0,2026-03-14T22:15:53.436875,m2ultra,M2 Ultra,moe_q8,none,0,64,256,0,bench,49.995602,105.526167,20.00175927734375,,1.0,raw/A_moe_q8_np64_r0.txt,ok
A_moe_q8_np64_r1,2026-03-14T22:16:07.743483,m2ultra,M2 Ultra,moe_q8,none,0,64,256,1,bench,49.809268,105.16375,20.076584796875,,1.0,raw/A_moe_q8_np64_r1.txt,ok
A_moe_q8_np64_r2,2026-03-14T22:16:22.071201,m2ultra,M2 Ultra,moe_q8,none,0,64,256,2,bench,49.856946,105.525667,20.05738590625,,1.0,raw/A_moe_q8_np64_r2.txt,ok
A_moe_q8_np256_r0,2026-03-14T22:16:36.907673,m2ultra,M2 Ultra,moe_q8,none,0,256,256,0,bench,49.997765,207.438,20.00089420703125,,1.0,raw/A_moe_q8_np256_r0.txt,ok
A_moe_q8_np256_r1,2026-03-14T22:16:51.178897,m2ultra,M2 Ultra,moe_q8,none,0,256,256,1,bench,50.002695,207.015375,19.99892219921875,,1.0,raw/A_moe_q8_np256_r1.txt,ok
A_moe_q8_np256_r2,2026-03-14T22:17:05.501215,m2ultra,M2 Ultra,moe_q8,none,0,256,256,2,bench,49.94365,206.759708,20.02256558984375,,1.0,raw/A_moe_q8_np256_r2.txt,ok
A_moe_q8_np512_r0,2026-03-14T22:17:20.326881,m2ultra,M2 Ultra,moe_q8,none,0,512,256,0,bench,50.030618,333.685375,19.98776041796875,,1.0,raw/A_moe_q8_np512_r0.txt,ok
A_moe_q8_np512_r1,2026-03-14T22:17:35.161941,m2ultra,M2 Ultra,moe_q8,none,0,512,256,1,bench,50.07239,334.074833,19.9710859375,,1.0,raw/A_moe_q8_np512_r1.txt,ok
A_moe_q8_np512_r2,2026-03-14T22:17:49.991170,m2ultra,M2 Ultra,moe_q8,none,0,512,256,2,bench,49.815706,333.871709,20.0739903984375,,1.0,raw/A_moe_q8_np512_r2.txt,ok
B_moe_q4_draft_0.8b_g4_short_factual_r0,2026-03-14T22:17:58.596079,m2ultra,M2 Ultra,moe_q4,draft_0.8b,4,6,256,0,short_factual,63.716,,15.696498054474707,0.05769,,raw/B_moe_q4_draft_0.8b_g4_short_factual_r0.txt,ok
B_moe_q4_draft_0.8b_g4_short_factual_r1,2026-03-14T22:18:05.794664,m2ultra,M2 Ultra,moe_q4,draft_0.8b,4,6,256,1,short_factual,64.942,,15.396887159533074,0.05769,,raw/B_moe_q4_draft_0.8b_g4_short_factual_r1.txt,ok
B_moe_q4_draft_0.8b_g4_short_factual_r2,2026-03-14T22:18:13.004906,m2ultra,M2 Ultra,moe_q4,draft_0.8b,4,6,256,2,short_factual,64.898,,15.408560311284047,0.05769,,raw/B_moe_q4_draft_0.8b_g4_short_factual_r2.txt,ok
B_moe_q4_draft_0.8b_g4_code_gen_r0,2026-03-14T22:18:20.197618,m2ultra,M2 Ultra,moe_q4,draft_0.8b,4,18,256,0,code_gen,63.346,,15.785992217898835,0.02468,,raw/B_moe_q4_draft_0.8b_g4_code_gen_r0.txt,ok
B_moe_q4_draft_0.8b_g4_code_gen_r1,2026-03-14T22:18:27.403504,m2ultra,M2 Ultra,moe_q4,draft_0.8b,4,18,256,1,code_gen,63.401,,15.774319066147863,0.02468,,raw/B_moe_q4_draft_0.8b_g4_code_gen_r1.txt,ok
B_moe_q4_draft_0.8b_g4_code_gen_r2,2026-03-14T22:18:34.606394,m2ultra,M2 Ultra,moe_q4,draft_0.8b,4,18,256,2,code_gen,62.963,,15.883268482490273,0.02468,,raw/B_moe_q4_draft_0.8b_g4_code_gen_r2.txt,ok
B_moe_q4_draft_0.8b_g4_long_reasoning_r0,2026-03-14T22:18:41.811100,m2ultra,M2 Ultra,moe_q4,draft_0.8b,4,25,256,0,long_reasoning,62.919,,15.894941634241246,0.00703,,raw/B_moe_q4_draft_0.8b_g4_long_reasoning_r0.txt,ok
B_moe_q4_draft_0.8b_g4_long_reasoning_r1,2026-03-14T22:18:49.011399,m2ultra,M2 Ultra,moe_q4,draft_0.8b,4,25,256,1,long_reasoning,63.081,,15.852140077821012,0.00703,,raw/B_moe_q4_draft_0.8b_g4_long_reasoning_r1.txt,ok
B_moe_q4_draft_0.8b_g4_long_reasoning_r2,2026-03-14T22:18:56.202669,m2ultra,M2 Ultra,moe_q4,draft_0.8b,4,25,256,2,long_reasoning,63.22,,15.817120622568096,0.00703,,raw/B_moe_q4_draft_0.8b_g4_long_reasoning_r2.txt,ok
B_moe_q4_draft_0.8b_g4_chinese_r0,2026-03-14T22:19:03.381049,m2ultra,M2 Ultra,moe_q4,draft_0.8b,4,1,256,0,chinese,62.679,,15.95330739299611,0.01337,,raw/B_moe_q4_draft_0.8b_g4_chinese_r0.txt,ok
B_moe_q4_draft_0.8b_g4_chinese_r1,2026-03-14T22:19:10.579586,m2ultra,M2 Ultra,moe_q4,draft_0.8b,4,1,256,1,chinese,62.655,,15.961089494163424,0.01337,,raw/B_moe_q4_draft_0.8b_g4_chinese_r1.txt,ok
B_moe_q4_draft_0.8b_g4_chinese_r2,2026-03-14T22:19:17.777481,m2ultra,M2 Ultra,moe_q4,draft_0.8b,4,1,256,2,chinese,62.592,,15.976653696498055,0.01337,,raw/B_moe_q4_draft_0.8b_g4_chinese_r2.txt,ok
B_moe_q4_draft_0.8b_g8_short_factual_r0,2026-03-14T22:19:24.518913,m2ultra,M2 Ultra,moe_q4,draft_0.8b,8,6,256,0,short_factual,66.272,,15.089494163424124,0.0197999999999999,,raw/B_moe_q4_draft_0.8b_g8_short_factual_r0.txt,ok
